"First Name","Last Name","National Geographic Titles","Residential Country","Professions","Specialities","Photography Skills","Brand Preferences","Brand Affiliation","Mini Bio","Hobbies","Charity Interests","Instagram","Website","Photography Genres"
"Lynsey","Addario","Explorer & Photographer","United States","Photographer","","","","","Lynsey Addario is a photojournalist based in London, where she works for National Geographic, the New York Times, the New York Times Magazine, Fortune, and other publications. She was born on November 13, 1973, in Norwalk, Connecticut.

Addario graduated from the University of Wisconsin at Madison in 1995 with a B.A. degree in international relations. With no professional photography training, she began photographing in 1996 for the Buenos Aires Herald in Argentina, where she worked for one year before returning to her home base in New York. In 1997, she began freelancing for the Associated Press, where she was a regular contributor for three years. While in New York, she completed several overseas projects, including traveling to Havana to work on a series of photo essays about the influence of capitalism on young Cubans. She returned to Cuba the following year for Pope John Paul II's visit and every year thereafter until 2002, documenting life under one of the last communist regimes.

In January 2000, she moved to New Delhi, where she was based for eight months, covering India, Afghanistan under Taliban rule, Pakistan, and Nepal for the Associated Press, the Boston Globe, and the Houston Chronicle. In April 2001, Addario moved to Mexico City, where she worked primarily for the New York Times while continuing to photograph a steady stream of international features outside the country. After the events of September 11, 2001, she returned to South Asia, where she covered the war in Afghanistan and the resulting women's education issues there.

Addario moved to Istanbul to cover the Middle East in January 2003. The following month, she traveled to northern and central Iraq, where she spent almost seven months covering the war for several magazines. She continued her Iraq coverage for the New York Times until early 2005 while simultaneously covering the ongoing conflict in Darfur. Since 2004, she has traveled to the troubled area several times, maneuvering around the Sudanese refugee camps in Chad and through burned-out, abandoned villages in Darfur, where she documented internally displaced people and rebel groups. In 2004, she also extended her coverage of the Middle East to women's issues in Saudi Arabia, while shooting other features in Turkey, Libya, South Africa, and Lebanon.

She recently completed a series on infant mortality, juvenile justice, sexual assault of minors, malnutrition, and education in countries across Africa for the New York Times.

Addario has won a number of awards, including a 1999 Award of Excellence from Pictures of the Year. In March 2002, Photo District News magazine named her one of the 30 best emerging photographers in the world. That year, the International Center of Photography presented her with the Infinity Award as Young Photographer of the Year.
Her photo essays and single images from Iraq, Mexico, and Pakistan have been featured in the American Photo Annual ""Best Of"" editions in 2003, 2004, and 2005. Her work earned her a coveted place in a World Press Master Class in Amsterdam. And in 2005, she was honored as a Fuji Young Photographer in Perpignan, France. Addario is also a recipient of the Soros Foundation Grant.","","","https://www.instagram.com/lynseyaddario/","https://www.lynseyaddario.com",""
"Lujan","Agusti","Explorer & Photographer","","Photographer","","","","","Puerto Madryn, Argentina, 1986. National Geographic Explorer. Luján is a documentary photographer and visual storyteller currently based in Tierra del Fuego, Argentina. She explores the Latin American culture and identity with a gender perspective. Through her work she seeks to analyze and push the limits of photographic documentary practice

She is a IWMF Fellow. She was selected for the World Press Photo 6x6 Global Talent Program of South America. She received the Women Photograph + ONA Grant, the Emerging Artist Scholarship of Lucie Foundation, and the CUARTOSCURO/Foundry Scholarship. That year she attended the XXX Eddie Adams Workshop. Her first photobook ""Un montón de Ropa"" (A pile of clothes) was awarded First Prize of the Book Call of Encontros da Imagem (Portugal, 2016). 

Her work has been exhibited internationally in China, India, Spain, Canada, United States, Mexico, Argentina, Uruguay, and has been published in international media outlets such as National Geographic, The Washington Post, The New York Times - LENS blog, The New York Times en Español, The British Journal of Photography, Vice, de Volkskrant, among others. She is a member of Prime Collective and Ruda Colectiva.

Since 2018 she has been part of the Photocamp Program of the National Geographic Society as an editor and instructor.","","","https://www.instagram.com/lujanag/?hl=en","https://www.lujanagusti.com/",""
"Sue","Aikens","","","","","","","","","","","https://www.instagram.com/sueaikens","https://www.kavikrivercamp.com/",""
"Diva","Amon","Explorer","Trinidad and Tobago","Conservationist; Ecologist; Marine Biologist; Oceanographer; Researcher","Especially open-ocean and deep-sea biology","","Anything ocean-related or environment-related","No","Dr. Diva Amon is a Caribbean marine biologist focused on the little-known habitats and animals of the deep ocean, and how our actions are impacting them. She works at the nexus of science, policy and communication and has a deep desire to see stewardship measures applied to the deep ocean as well as the engagement of a broader group of global stakeholders towards this effort. Diva has participated in research cruises around the world and has been featured on global outlets, including National Geographic, BBC, and CNN International. Amon is founder of SpeSeas, an organization dedicated to marine science, education, and advocacy in her home country, Trinidad and Tobago. Diva is a 2020 National Geographic Emerging Explorer, a Pew-Bertarelli Ocean Ambassador, and a World Economic Forum Friend of Ocean Action. Amon has also received several awards, including the WINGS WorldQuest Women of Discovery Sea Award, the Elliott Norse Early Career Marine Conservationist Award from the Society for Conservation Biology, the British Science Association's Charles Lyell Award for Environmental Sciences, and the International Seabed Authority Secretary-General?s Award for Excellence in Deep Sea Research.","I'm a complete water baby - scuba diving, snorkelling, free diving, stand-up paddle boarding. Also hiking and travelling.","SpeSeas (Trinbagonian management and usage of regional Ocean)","https://www.instagram.com/diva_amon/","https://divaamon.com/",""
"José","Andrés","","","Chef","","","","","Born in Spain, where he learned the craft of cooking first from his parents and then in the kitchen of Ferran Adrià?s groundbreaking avant-garde restaurant elBulli ? José Andrés immigrated to the United States in 1991, first to New York City and later to Washington, D.C., where he and his partners established a group of restaurants that has earned countless fans and won numerous awards over the years.

José holds close both his identity as a Spanish immigrant and an American citizen, placing upon himself the responsibility of both culinary ambassador and immigrant representing the two nations. He is a visionary and a humanitarian, establishing World Central Kitchen in 2010 as a means for feeding the many ? using culinary training programs to empower communities and strengthen economies as well as food disaster relief in the wake of emergencies around the globe.

He has been widely recognized for both his culinary and his humanitarian work, including by the James Beard Foundation ? which named him Best Chef: Mid-Atlantic in 2003, as well as Humanitarian of the Year in 2018; TIME Magazine, which included him on the list of 100 Most Influential People in 2012 and 2018; and President Obama, who awarded José the National Humanities Medal in 2015. José holds two Michelin stars for his avant-garde tasting counter minibar by José Andrés in Washington, D.C., as well as four Bib Gourmands.","","","https://www.instagram.com/chefjoseandres/","http://www.joseandres.com/",""
"Darren","Aronofsky","","","Filmmaker","","","","","","","","https://www.instagram.com/darrenaronofsky","http://www.protozoa.com/",""
"David","Blaine","","","","","","","","?David Blaine is the greatest magician who ever lived.? Howard Stern made that on-air proclamation, a sentiment echoed by Penn Jillette of Penn and Teller, who referred to Blaine?s Street Magic as ?the best TV magic special ever done.? Blaine was just twenty- three when Street Magic first aired on ABC, transforming televised magic by turning the camera on the audience. Spectators at home could feel the visceral reaction of people being astonished. The New York Times went on to declare that Blaine had ?taken a craft that?s been around for hundreds of years and done something unique and fresh with it,? while The New Yorker prominently stated ?he saved magic.?","","","https://www.instagram.com/davidblaine/","https://davidblaine.com/",""
"Bobby","Bones","","USA","Host","","","","","Bobby is the self-deprecating host of The Bobby Bones Show and The Country Top 30 Weekend Countdown, but this true Arkansas boy has a lot more going on than just doing radio from 5a-10a every weekday (which really is already a full-time job).","","","https://www.instagram.com/mrbobbybones","https://bobbybones.iheart.com/",""
"Andrea","Bruce","Explorer & Photographer","United States","Activist; Adventurer; Anthropologist; Artist; Educator; Influencer; Journalist; Photographer; Researcher; Writer","photojournalist","Audio; Skiing; Video","Nikon, Apple, Blundtsone boots, iPhone, Instagram","Nikon","Through documentary photography, Andrea Bruce brings attention to people living in the aftermath of war. She is a co-owner and member of the photo agency NOOR. 

For eight years she has chronicled the world as a staff photographer for The Washington Post. She focused on Iraq from 2003 to the present, following the intricacies and obstacles of the conflict experienced by Iraqis and the US military. She also wrote a weekly column for The Post called ""Unseen Iraq.""  

Her awards include top honors from the White House News Photographers Association (where she has been named Photographer of the Year four times), several awards from the International Pictures of the Year contest, and the prestigious John Faber award from the Overseas Press Club in New York.  

She has also been a finalist for The Aftermath Project grant and a 2011 recipient of the Alicia Patterson Foundation Fellowship. In 2010 she received the WHNPA grant for her work in Ingushetia. In 2012, she was the recipient of the first Chris Hondros Fund Award for the ?commitment, willingness and sacrifice shown in her work.? 

Andrea is currently based in rural North Carolina and is available for photography and multimedia assignments. Her current concentration revolves around the ideas of democracy and income-inequality.","water sports (kayaking, water skiing, paddle boarding, fishing), anything outdoors, forestry, education, reading, carpentry","MSF","https://www.instagram.com/andreabruce","https://www.andreabruce.com","Conceptual; Culture; Documentary; Environment; Portraiture; Travel"
"James","Cameron","Explorer","","Climatologist","","","","","Born in Canada, James Cameron moved to California in 1971 at the age of 17.  He studied physics at Fullerton Junior College while working as a machinist and later as a truck driver.  Setting his sights on a career in film, Cameron quit his trucking job and went to work on low-budget science fiction films as a self-taught designer and visual effects artist.","","","","",""
